place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,label,score
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,77ea2d1c14ffdd8b39195a520c7c2b78,5,"The food is all delicious, the service is the best and the food is very cheap and affordable.. if you want to eat with your family its worth it.. the place to eat is clean and comfortable.. highly recommended..",2 hours ago,2024-03-29 09:45:18.363,,,,0,2.0,,0.0,"Makanan semua sedap, servis terbaik n makanan sangat murah n berpatutan..klau nk mkn rmai2 dgn family mmg berbaloi sgt..tempat mkn bersih n selesa.. recommended sgt..",,positive,0.997300207614898
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,1ef9e813fd25201dbdd033344b8374a3,5,,4 days ago,2024-03-25 11:45:18.378,,,,0,27.0,154.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,aac9fba67d4fd4e03c3b2be0b1bd34d9,5,"Very friendly staff, ready to give tips on what kind of fish is good. The best kerabu. Kudos",2 weeks ago,2024-03-15 11:45:18.379,,,,0,17.0,,0.0,"Staff yg sangat peramah, siap bagi petua apa jenis ikan yg sedap. Kerabu belangkas terbaik. Kudos",,positive,0.997320473194122
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,9c1a27b04003a9f772beaf13d2c529ac,5,,2 weeks ago,2024-03-15 11:45:18.379,,,,0,55.0,174.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,61d85a273250497f1f4e338f2b95cfdd,5,"Among the Best seafood avaiable in perlis. The taste, the hospitality and the facilities are top notch. They have quite spaceous praying area. Parking: Is located along the main road of Kuala Perlis. Another option is the parking area opposite the restaurant",2 weeks ago,2024-03-15 11:45:18.379,,,,0,69.0,492.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,580628282a708f3825bb5754eca581cb,5,,2 weeks ago,2024-03-15 11:45:18.397,,,,0,27.0,4.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,ac68d85da97487e6b6eb44881ed42d5d,4,,2 weeks ago,2024-03-15 11:45:18.397,,,,0,17.0,24.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,20c565f2848129049863d68693d1cce9,4,"Delicious food, fast and ample parking space",2 weeks ago,2024-03-15 11:45:18.413,,,,0,71.0,159.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,2619286396dc7b49dbde8ac39200ba13,5,,2 weeks ago,2024-03-15 11:45:18.413,,,,0,20.0,126.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,4833320ecff127219af0adb164236b07,5,Restaurant by the river. While eating you can enjoy the sunset. There is a pier for the river cruise as well and the ticket counter is in the restaurant.,2 weeks ago,2024-03-15 11:45:18.413,,,,0,51.0,106.0,1.0,Restaurant by the river. Sambil makan boleh nikmati sunset. Ada jeti untuk river cruise juga dan kaunter tiket ada dalam kedai makan.,,positive,0.997253715991973
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,8575e6f61fc88e1b8bfd10149d005714,4,,3 weeks ago,2024-03-08 11:45:19.613,,,,0,22.0,120.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,6c59b3b724c204950c445c87b169e5db,5,,3 weeks ago,2024-03-08 11:45:19.613,,,,0,2.0,1.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,223e46a1839c203938f38eaca69c7986,5,delicious food. nice riveraide view,3 weeks ago,2024-03-08 11:45:19.613,,,,0,221.0,367.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,a5d0f834fe65475d0f606ea6bf6c3695,4,,3 weeks ago,2024-03-08 11:45:19.613,,,,0,,,,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,9276415127a36ed72935b985bf7cb81e,4,The food is good (its just that the tomyam doesnt taste like skit) Fast service even though there are many customers. The dining room is comfortable & for me the price is reasonable.,3 weeks ago,2024-03-08 11:45:19.629,,,,0,161.0,576.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,250ecf6f6346a346be6ae983afd0f022,5,Excellent,3 weeks ago,2024-03-08 11:45:19.629,,,,0,3.0,10.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,53a409352377cdef6a64333029b47e0d,5,Coconut Milk/Yellow Milk Grilled Fish is the best. Octopus crab is also delicious. Affordable.,3 weeks ago,2024-03-08 11:45:19.646,,,,0,143.0,134.0,1.0,Ikan Bakar Santan/Susu Kuning memang terbaik. Kerabu sotong pun sedap. Harga berpatutan.,,positive,0.99733966588974
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,23cd0b6cb555e99e0f27628cdfb09ee6,4,,3 weeks ago,2024-03-08 11:45:19.646,,,,0,12.0,18.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,13dc44f7dcc2a313a67b44284e19e69f,4,Food was delicious and very fresh seafood.can choose seat by the river. There is river cruise provided at rm15 perperson.can choose sunset rivercruise as well. Must try mentaram masak halia and their ikan bakar santan.parking are avalaible.if you come after 6pm need to do reservation or else no table available. Parking: Can park in front of the restaurant or parking area across the road,3 weeks ago,2024-03-08 11:45:19.646,,,,1,7.0,29.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,eab0d1724b36606b750b00b6200bcd59,5,Perlis visit must try. Recommended. As always...from Kedah.. Monthly visit Food : 5/5 |,3 weeks ago,2024-03-08 11:45:19.662,,,,1,305.0,170.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,0926adc0f2cfa5d2995d8fd9415da1da,5,,4 weeks ago,2024-03-01 11:45:20.261,,,,0,2.0,2.0,0.0,,,,
