review_text,label
"Makanan semua sedap, servis terbaik n makanan sangat murah n berpatutan..klau nk mkn rmai2 dgn family mmg berbaloi sgt..tempat mkn bersih n selesa.. recommended sgt..",positive
"Staff yg sangat peramah, siap bagi petua apa jenis ikan yg sedap. Kerabu belangkas terbaik. Kudos",positive
Restaurant by the river. Sambil makan boleh nikmati sunset. Ada jeti untuk river cruise juga dan kaunter tiket ada dalam kedai makan.,positive
Ikan Bakar Santan/Susu Kuning memang terbaik. Kerabu sotong pun sedap. Harga berpatutan.,positive
Makanan semua sedap2.kat tepi tu ada bot2 nelayan memang cantik lh.,positive
15,positive
Servis cepat...makanan sedap..siap ada pakej...,positive
syoq sbb mmg ramai,negative
"Good place for ikan bakar in Perlis. Located by the river bank. Ikan bakar is a must try, combine it with udang masak pedas/sambal (add petai if you like). Terung bakar.. fuh! Yummy.",positive
"Ikan bakar paling sedap dan fresh, semua sedap padu.. , lala sambal best",positive
Sedap terutama rasa moist bakar kuning/santan dgn ikan terubuk berlemak yg jarang dlm kalangan pemain ikn bakar..cuma cili terlebih menutupi lala...,negative
Makanan sedap..harga berpatutan..,positive
Sedap...lauk fresh2...berbaloi...harga mcm biasa rm100++,positive
"Nice view, ikan bakar padu, sedap, harga berpatutan!",positive
"Parking kereta luas, tempat bersih. Makanan ada rasa",positive
"Vegetarian options: Mixed vegetables, tomyam soup. Must inform them. Food",positive
"ikan sedap, air sedap, butter prawn ok, cuma kalau kurangkan sikit lagi butter, much better. harga sangat berpatutan. kawasan luas, ok untuk anak-anak. best view, walaupun sebelah sungai, tak ada nyamuk.",positive
"Bukan citarasa saya. Istimewanya cuma ikannya segar. Kebanyakan masakan hanya bergantung kepada kesegaran ikan, udang, ketam dan lain2 yg menjadikan masakan itu boleh dimakan. Pada hemat saya restoran ini menjadi tarikan kerana lokasinya........Lain2 tiada yang istimewa.",negative
"Harap kedai je tepi sungai,tapi tukang ambik order takat tanya sotong udang nak masak apa je tapi cara ckp kurang ajar macam nak gaduh. Org datang jauh2 nak makan kedai kau,kau buat sial.typical kedai melayu yg mentang2 dah ada pelanggan ramai tapi berlagak sombong. Kesian tauke kedai ada staf2 camni,nasib la sape suh tak pantau servis.mamat kurang ajaq tu ada sekali attached gambar budak kiuajaq ni",negative
Antara tempat makan ikan bakar yang terkenal di negeri Perlis. Servis yang laju. Tempat duduk memang ramai. Pernah makan dua kali di sini dan memang sangat cepat walaupun waktu ramai orang. Makanan yang sangat sedap. Sotong bakar antara lauk yang sangat sedap di sini. Makan bersama suasana Kuala Perlis di malam hari antara tarikan pengunjung untuk menikmati makanan di sini.,positive
Memang sedap sgt...in sha allah nak repeat lagi kalau ke perlis...kami dari puchong,positive
"Ikan bakar santan sedap. Nak complain mengenai mentarang bakar. Mentarang x basuh bersih. Dlm masih ada lumpur. Bila ditanya katanya memang begitu cara masakan. Kami pernah makan di sekinchan. So far mentarang yg kami makan semuanya bersih. Mungkin boleh diperbaiki cara bersih mentarang. Saya juga nk tegur cara bersihkan meja. Saya perhatikan tukang cuci bersihkan meja menggunakan perkakas yang saya lihat selalu digunakan di tandas. Mungkin owner memang tetapkan perkakas tu untuk lap meja. Tapi cara perkakas tu diletakkan setelah cuci adalah agak tidak sesuai dimana sepatutnya bahagian yang digunakan untuk mengelap meja patut diletakkan diatas. Bila diletakkan dibawah, nampak agak kotor. Diharap owner boleh buat penambah baikan. Otherwise semua yang lain ok.parking pun bagus.",negative
Sedap teruks!!!! Berbaloi beratur,negative
Terlalu ramai sangat orang. Nak dapatkan meja perlu ambil nombor dulu. Nak duduk dpt meja pun kena tunggu lama.,negative
Recommended dishes,positive
Food,positive
Menu semua sedap. Servis laju.,positive
"The best in town, persekitaran dan makanan sedap sangat. Murah pun murah utk ikan yang tersangat fresh. Di buka jam 5 petang, recommend utk sampai awal. Around 6-8 petang peak hour. Ada sunset view yang sangat cantik. Makanan sedap dan pantas. Signature adalah ikan bakar. Kena cuba. Sambal set berasingan perlu order sekali. Tak ada gambar makanan sebab sedap dah habis makan. Tempoh hari makan ikan bakar, sotong goreng celup tepung, kailan, tomyam, set sambal dan nasi 4 pinggan, air fresh oren 1, air limau kesemuanya RM118. Ikut harga semasa. Parking disediakan.",negative
"Diantara restoran yg terbaik di Perlis.sangat2 berpuashati, berbaloi dengan harga rasa masakanya.",positive
"1st time datang sini. Sedappp...tempoh menunggu yang tidak lama. Sy suggest datanglah lebih awl, saya sampai around jam 6.40ptg, jadi orang masih belum ramai. Order pn smooth je, boleh pilih jenis ikan yang kita nak, cadangab menu juga diberikan. Untuj tekak orang pantai timur mcm saya, boleh diterima masakan ikan bakar perlis. Sedap dan harganya pada saya saaaaaangat murahhhh...rasanya tak dapat menu yang saya order dengan harga kat sini kt tempat lain. Cnfirm akan repeat lagiii. Cuma 1je, kedudukannya agak berbahaya sebab betul2 di selekoh yang tajam jadi nk melintas tu agak bahaya sikit. (Keluar masuk kereta pun agak bahaya).",negative
"Sistem booking,org booking tak mai tapi org menunggu tak dpt masuk,  menunggu lama utk makan.",negative
Tmpt paling puas hati mkn kalau singgah di perlis.makan ramai2,positive
Harga berpatutan..murah makan mcm2.. recommended,positive
Terbaik,positive
"Haih.. memang kena bagi 5   semua, food, service & atmosphere. Totally worth it. Siakap masak stim yang empuk, distim dengan hirisan bawang, serai, cili api memberi rasa yang memukau. Sedikit rasa sitrus melengkapkan keseluruhan rasa siakap yang bersyukur ia dimasak dengan sebegitu sempurna. Udang masak telur masin mengiringi kesempurnaan makan malam tepi sungai.  Ditegur mesra sesekali bunyi kocakan air sungai, bahagia. Sotong goreng tepung, voilla! Crunchy tepungnya tetapi segar sotong yang tersorok di dalam kekal tetap. Kalau hangpa baca sampai habis review ni dan x try juga, xtau la    penat tau type.",negative
"Tmpt dduk yg luas,permandangan yg menarik,parking yg luas..untuk menu n rasa ikan bakar memang sedap..harga yg berbaloi dgan rasa tok family sy 11 org,sy request ikan kerap dua for dua meja memang byak..balik dgan puas ati",positive
Sate ayam / daging  berbaik,positive
"Mgkn salah saya, x patut order sotong telur masin. Goreng dgn telur masin rebus cincang + bnyk gila butter, jadi x rasa telur masin apa dah, mmg rasa mcm sotong salut minyak butter ja - tengok gambar. Blh cari resipi online, masak pakai powder ja senang kalau x reti. Telur pun berminyak, teh ais potong 2 kaki pun x cukup, kailan ikan masin ja yg boleh makan. Sedap khabar dari rasanya, huhu",negative
Alhamdulillah..pasni bawa family pila..,positive
System order teratur dan order cepat sampai,positive
Kene dtg awal nak elak  beratur.kalau tunggu pon x lama kurang daro 30min mkn ok ikan fresh.,positive
"Tak best, nak pilih sotong untuk goreng tepung dia tak bagi, hanya sotong bakar je boleh pilih.. sotong tepung tak boleh pilih sotong.. tak sedap mana, biasa je..",negative
"Makanannya cocok dilidah orang Melayu, banyak seafood yg enak, dan yg saya coba adalah tomyamnya",positive
Paling recommended datang perlis mesti makan dekat restoran ni.. Memang sedappp,positive
Ikan bakar kat sini lain cara bakar die. guna sabut kelapa & sambal kuning.sedap..,negative
Tawar semuaa mknan.. kepala ikan gulai bauu sampai mak muntah semuaa .. bkn soal tekak soal xlh mk,negative
Bleh dikatakn semua sedap..harga boleh tahan..huhu..,positive
"Makanan sampai agak lambat,org terlalu ramai,biasa kalau dah ramai makanan mesti lambat,yg kental pasti sampai,ikan bakar sempoi n air asam,lain x rekemen",negative
"Cepat dan pantas, makanan pun sedap, tak perlu tunggu lama",positive
"Sedap, service efisien n mantap. Berbaloi",positive
Sedap and cepat!,positive
makanan sedap n berbaloi,positive
"Ikan bakar santan tak lalu makan..tak sedap langsung!! Kuah cicah ikan tidak disediakan, dijual berasingan. Alaahh patutnya sekalikan lah. Sotong telur asin pun xde rasa. Sayur kailan sejuk...mungkin telah digoreng awal.",negative
"Harga berpatutan, ikan bakar percik style lain Dari yg lain. Customer service selalu senyum",positive
"Kita dah order, tapi cari bill yg kita order tak jumpa. yang kita ni dok tggu dkt sejam dah. first time nak mai makan sini, last cancel mcmtu ja. takpa, tkmau mai dah. cuma jgn buat mcmni kat org lain tq",positive
"Makanan sedap. Harga pun berbaloi. Kalau dekat Selangor tak dapat harga mcm di sini. Saya makan Ikan Jenahak 3 Rasa, Sotong Goreng Tepung, Udang Masak Bata, Tomyam Campur, Nasi Putih 2 pinggan & Air Fresh Orange 2 gelas =, RM139",positive
Terbaikkk...,positive
"Makanan agak mahal, ikan masak 3 rasa mcm pakai sos thai sahaja. Udang masak butter tapi cair berkuah, x kering dan x ada telur yg garing. Tom yam order 2 orang makan. Tapi mangkuk kecil mcm seorang makan. Tambahan air asam atau pencicah lain kena bayar RM1. Air asam dan sambal belacan sama x ada beza  . Yg lain biasa2 sahaja. Mungkin selera sy lain dr orang lain. Yg best suasana sahaja. Nak dtg makan lagi sekali mungkin tidak. Terima kasih sudi baca review.",positive
"Api api berkelip cantik, bila dekat biasa.  ( maklumat lanjut di bawah ) Makanan : Hasil laut dekat sini semua segar cuma masakannya tak menepati selera kami. Ikan bakar pari masak susu. Pari fresh. Jenahak 3 rasa, manis, tiada rasa pedas. Dapat ikan lambat, dah hbs makan, baru ikan sampai. Kerang bakar x ada sos cicah. Udang masak butter cair, berkuah. Tak mcm restoren lain butter prawn berserbuk. Sotong order banyak, sos sikit. Air asam dan sambal belacan rasa sama, dan setiap satu ikan bakar dapat 1 sahaja air asam. Kalau nak tambah ada charge tambahan. Tomyam order 2 org makan, tpi portion mcm sorg makan.  Harga makanan mahal. Overall bukan taste kami, nak kan suasana je datang sini. Citarasa setiap org berbeza.  Expectations kami tak mcm review org dekat sini. Mungkin salah pilih kedai. Plus point : Pemandangan cantik ada certain time boleh jalan jalan naik bot.",negative
Ikan bakaq dia memang sedap!,positive
Tempat mkn yg menarik,positive
"Ikan jenahak bakar  , harga tak mahal sangat - boleh pilih ikut pakej atau ala carte, servis pantas, masa sampai dalam pukul 8pm terus dapat meja tapi lepas tu dah mula queueing.",negative
"Bila makan view best tepi sungai, makanan automatik jadi sedap   sotong sambal petai 2 orang mkn, ikan siakap bakar lemak 1kg, kailan ikan masin 2 orang mkn, nasi putih 3, set sambal belacan, ulam, air lemon, nescafe panas & air kosong.. rm92 total..amboi murah boss, nak pindah Perlis la mcm ni,",positive
Sedap kena dengan tekak Sistem laju. Order & dapat no lepas tu duduk di meja tunggu makanan sampai Susunan meja teratur Yg penting harganya berpatutan 3x da repeat. Pasti repeat lagi Yg paling sedap udang butter ikan siakap bakar (lain daripada ikan bakar di selatan malaysia) Take note perlis diaorg tak makan pedas. Just nice2 mcm manis2 ala2 kelantan punya masakan,positive
Beratur nak masuk saja panjang tapi makanan cepat sampai walaupun ramai orang. Bagus. Surau ada aircond. Makanan sedap.,positive
Lauk semua sedap. Lagi mudah bila ada set menu yang disediakan. Lauk sampai sangat laju. Siakap masak santan lemak sangat sedap. Harga pun murah dan berbaloi. Parking pun banyak seberang jalan.,positive
"Maaf saya nak share sikit.. Pelayan tak mesra pelanggan.. Time nak pilih ikan apa semua tu bila customer tanya, biasa masak apa benda ni, depa jawab mcm mau takmau jaa.. Lepastu dok tengah mkn, pukoi 11 depa dok kalut nak tutup kedai sampai atas meja kita pun pinggan2 depa angkut habis dok buat kalut.. Makanan ada lagi kot pun depa angkut.. Tau laa pukoi 11 tutup tapi jgn buat mcm nak halau customer.. Lagi satu menu pun tak byk.. Ikan sikit siput ada satu jenis saja.. Sotong tkdk.. Petai tkdk.. Byk laa makanan seafood lain tkdk.. Baik pi kedai lain lebih baik.. Saya cuma bagi review sajaa.. Kalau sapa nak pi tu, pi tang lain laa",negative
Boleh la. Best juga,positive
Puassss hati,positive
"Berbaloi datang, yang datang dari jauh pun cuba singgah sini. Tepi sungai, makan best, view best.",positive
Boleh la nk makan...ikan bakar lemak dia sedap,positive
Bolehlah,positive
Tempat makan yang menarik. Terletak ditepi sungai. Ikan yang segar...secukup rasa. Ada peluang akan datang lagi. Kami bertujuh. Parking: Disediakan kemudahan parking seberang jalan,positive
"Servis cepat,makanan not bad",positive
Ikan bakar wajib try. Lain dari yg lain,negative
Poket kena tebal,negative
Makanan sedap puas hati. Semua fresh dan berbaloi. Persekitaran pun baik bersebelahan dengan sungai. Tempoh menunggu juga tak lama. Surau disediakan amat selesa. Tandas juga bersih dan selesa. Memang terbaik dan puas hati.,positive
Makanan laut segar dan masakan sedap. Sotong goreng tepung paling best. Dietary restrictions: Suitable for pescatarians. Parking: Ada tempat parking seberang kedai.,positive
"Kerang rebus kami ada yang dah busuk. Tidak disediakan sos cicah. Tiada banyak pilihan sayur / ulam-ulam.  Ikan sweet sour sedap, ketam sotong pun sedap. Semua segar kecuali kerang",negative
"Makanan sedap. Makanan laut yang fresh2. Yang baik kat sini, ikan bakar mereka. Sambal yang dibakar bersama ikan tu memang lain dari tempat2 ikan bakar lain. Sangat sedap. Lain dari yang lain. Kalo nak pergi weekend sangat disarankan booking dahulu. Jika tidak memang penuh la",negative
